86	00:03:05,000	00:03:07,000	23	L	n	so really like Singaporean.
87	00:03:07,000	00:03:09,000	23	R	n	I mean, you find so many nationality. 
88	00:03:09,000	00:03:11,000	23	R	n	Any devotees come to singapore,
89	00:03:11,000	00:03:13,000	23	R	n	every body you can approach.
90	00:03:13,000	00:03:15,000	23	R	n	and we do need anybody
91	00:03:15,000	00:03:17,000	23	R	n	nice to through feel
92	00:03:17,000	00:03:18,000	33	L	n	at home in the city
93	00:03:18,000	00:03:19,000	33	L	n	at the country side of Europe
94	00:03:21,000	00:03:22,000	23	R	n	coversasion is very good ,yeah.
95	00:03:22,000	00:03:23,000	23	R	n	and easy to walk, and 
96	00:03:24,000	00:03:25,500	23	R	n	we just go there * uses MRT or asking for 
97	00:03:25,000	00:03:26,000	23	R	n	people are very friendly,too
98	00:03:33,000	00:03:35,000	23	R	n	***
99	00:03:35,000	00:03:38,000	23	R	n	you can believe it.
